Priority;Category;Segment;Organisation;SourceName;SourceType;SourceTier;PreferredURL;IncludeRules;ExcludeRules;CadenceDays;Enabled;Notes
1;Competitor;Competitor;1NCE;News;Press Releases;Primary;https://www.1nce.com/en-us/resources/news;"press release;pricing;flat-rate;expansion;partnership;offer;coverage;enterprise";"generic blog;how-to;opinion";3;1;Track pricing/packaging and geographic expansion.
1;Competitor;Competitor;AT&T;Newsroom;Pressroom;Primary;https://about.att.com/newsroom.html;"IoT;LTE-M;NB-IoT;5G;private wireless;enterprise;partner;security";"consumer;entertainment;CSR";14;1;Anchor operator: enterprise IoT connectivity moves.
1;Competitor;Competitor;Eseye;News;Newsroom;Primary;https://www.eseye.com/resources/news/;"press release;partnership;acquisition;launch;connectivity;security;eSIM";"webinar;opinion;event recap";7;1;Focus on strategic alliances and platform updates.
1;Competitor;Competitor;KORE;IR Press Releases;IR/Press Releases;Primary;https://ir.korewireless.com/news-events/press-releases;"press release;results;acquisition;strategic;guidance;partnership";"SEC filings only;proxy statement";7;1;Use for financially material updates.
1;Competitor;Competitor;KORE;Press Center;Pressroom;Primary;https://www.korewireless.com/press-center/;"press release;acquisition;earnings;guidance;partnership;platform;IoT connectivity;eSIM";"webinar;event;podcast;thought leadership";3;1;Capture strategic moves and portfolio changes.
1;Competitor;Competitor;Orange Business;Press;Pressroom;Primary;https://www.orange-business.com/en/press;"press release;IoT;connectivity;partnership;enterprise;security;private 5G";"event;CSR;branding";7;1;Track enterprise connectivity packaging and partnerships.
1;Competitor;Competitor;Soracom;Press Releases;Press Releases;Primary;https://soracom.io/press-releases/;"press release;launch;platform update;partner;SGP.32;eSIM;orchestration;security;NTN";"community;meetup;how-to";3;1;Prefer press releases for decision-grade items.
1;Competitor;Competitor;Telefónica Tech;News;Newsroom;Primary;https://telefonicatech.com/en/news;"IoT;managed connectivity;cybersecurity;partnership;platform;enterprise;private 5G";"generic blog;event recap";7;1;More directly relevant to enterprise portfolio changes.
1;Competitor;Competitor;Telenor Connexion;News;Newsroom;Primary;https://www.telenorconnexion.com/newsroom/;"IoT connectivity;managed services;roaming;LTE-M;NB-IoT;eSIM;SGP.32;partnership";"event;webinar;career";7;1;Direct competitor in managed IoT connectivity (strong EU footprint).
1;Competitor;Competitor;Verizon;News Releases;Pressroom;Primary;https://www.verizon.com/about/news/;"IoT;ThingSpace;private 5G;network API;roaming;enterprise connectivity;partnership";"consumer;device launch;CSR";14;1;Anchor operator: packaging/offer signals and enterprise initiatives.
